room_avg_temp,room_max_temp,room_min_temp,room_std_temp,room_avg_speed,room_max_speed,machine_machine_1_box_temp,machine_machine_1_surround_temp,machine_machine_2_box_temp,machine_machine_2_surround_temp,machine_machine_3_box_temp,machine_machine_3_surround_temp,machine_machine_4_box_temp,machine_machine_4_surround_temp,machine_machine_6_box_temp,machine_machine_6_surround_temp,sim_ambient_mean,sim_ambient_median,ambient_cell_count,human_count,sim_wall_temp_mean,sim_wall_temp_median,frame,sim_time_s,sim_time_min,real_datetime
20.544970775657596,27.45793342590332,20.500000000007994,0.33025648146962594,0.0,0.0,,20.88659926999504,23.199586868286133,21.198674182591187,22.823462566589118,21.086947477206902,22.132097953676524,20.896723255853427,22.578753790298634,20.994048437785427,20.536303301543974,20.50007821123194,6997,1,20.5427271025617,20.500113056031374,354,10620.0,177.0,2025-04-23 17:26:00
20.544708941252487,27.45793342590332,20.500000000007994,0.3251406334432683,0.0,0.0,,20.88172619193348,23.199586868286133,21.19903980542408,22.82348057707831,21.099678222860135,22.045984679180908,20.89007193168735,22.57877529931062,21.005568630745135,20.535720330862315,20.50008087130589,6997,1,20.543113911075658,20.50011367165586,355,10650.0,177.5,2025-04-23 17:26:30
20.544422597958715,27.45793342590332,20.500000000007994,0.32062256609099665,0.0,0.0,,20.87602636413546,23.199586868286133,21.199414463841933,22.823494322113536,21.110188348023268,21.965839105053306,20.88264027495608,22.57879226413768,21.015462621456614,20.53516389488043,20.50008092889399,6997,1,20.54343075190347,20.50011462223184,356,10680.0,178.0,2025-04-23 17:27:00
20.540018903773845,27.173209629597437,20.500000000007994,0.2863698134636942,0.0,0.0,,20.869715685585604,23.28136825561523,21.20110911855172,21.593412686352597,21.006666774146062,21.890957714639743,20.874629495239123,21.678509494400075,20.943413686689833,20.551271616624472,20.500083648649568,7025,0,20.540930498527892,20.500115676885585,357,10710.0,178.5,2025-04-23 17:27:30
20.538742730037253,26.867432732950864,20.500000000007994,0.26984300171162867,0.0,0.0,,20.86295182330947,23.28136825561523,21.202778771583443,21.59329664592921,20.966120729640867,21.82077973330678,20.866194694625396,21.678359829595454,20.916692401793092,20.549720518939512,20.50008364803131,7025,0,20.54008364597706,20.500114766128764,358,10740.0,179.0,2025-04-23 17:28:00
20.537321386661958,26.549167269689892,20.500000000007994,0.25399286075008465,0.0,0.0,,20.855855665263725,23.13685607910156,21.202057559616684,21.495046681066064,20.935187124678702,21.75484823909914,20.857457372002997,21.58386462355636,20.895550745716406,20.548212237507006,20.500085427882492,7025,0,20.53935708131402,20.500116439608952,359,10770.0,179.5,2025-04-23 17:28:30
20.53625304730705,26.2262112837232,20.500000000007994,0.24057994617777972,0.0,0.0,,20.84852220956862,23.13685607910156,21.201310077948577,21.49501031151104,20.917288380894135,21.69278337850594,20.848514020797644,21.583825264398683,20.884357310526816,20.546748649929434,20.500087024696857,7025,0,20.53892729624932,20.500114991854993,360,10800.0,180.0,2025-04-23 17:29:00
20.54093808098316,25.90495774833798,20.500000000007994,0.26535347081324495,0.0,0.0,,20.8410271570375,23.566978454589844,21.207520722200695,21.801524112676002,20.933073580337886,21.63426363582918,20.839442147118575,22.438751684556603,20.95367529177704,20.544950980455155,20.500084946048556,6996,1,20.540587569001065,20.500115905767792,361,10830.0,180.5,2025-04-23 17:29:30
20.540546980649577,25.590294959794818,20.500000000007994,0.2575515944372408,0.0,0.0,,20.833431344831126,23.566978454589844,21.213642509158742,21.80154026869912,20.935940468925466,21.57901252672219,20.83030456285279,22.438892924736805,20.980891517739025,20.543788963950092,20.500086091723258,6996,1,20.541186611612254,20.500115741899144,362,10860.0,181.0,2025-04-23 17:30:00
20.539988796045638,25.28574454233233,20.500000000007994,0.24678141798625478,0.0,0.0,,20.82578391783254,23.741411209106445,21.222233139481574,21.966000074269775,20.95085615907735,21.526788992063814,20.821152508846094,22.41878679590495,20.993291803160865,20.551714144134905,20.50009091513184,7025,0,20.541639228258475,20.50011423775824,363,10890.0,181.5,2025-04-23 17:30:30
20.53908840829835,24.993685388269604,20.500000000007994,0.23546044604741456,0.0,0.0,,20.81812468826487,23.741411209106445,21.230373899147715,21.96601599554145,20.9562775843413,21.477380349897263,20.812027972339127,22.418806003160263,21.001990182350706,20.55016386862797,20.500092037838765,7025,0,20.54189978118544,20.500112953610802,364,10920.0,182.0,2025-04-23 17:31:00
20.54566498479172,26.54604721069336,20.500000000007994,0.29650617336708057,0.0,0.0,,20.81048594044647,23.37100982666016,21.232030954785806,22.217943269648483,20.98184648736162,21.430597039998023,20.802965440158584,22.15426383724466,20.98515203387082,20.549398325669333,20.50010125243415,6996,2,20.542164298842184,20.500111892779007,365,10950.0,182.5,2025-04-23 17:31:30
20.54547207924885,26.54604721069336,20.500000000007994,0.29160274019945576,0.0,0.0,,20.802893839606572,23.37100982666016,21.233297116395015,22.21797148756232,20.99308131023214,21.386268642141115,20.793993249755513,22.15422636783318,20.98083715558455,20.54848982275937,20.500102972667523,6996,2,20.542760457150074,20.50011317069694,366,10980.0,183.0,2025-04-23 17:32:00
20.545119568250257,26.54604721069336,20.500000000007994,0.2866453212888007,0.0,0.0,,20.795369548692417,23.37100982666016,21.234415356027146,22.217984194123638,20.999748673750858,21.344240812008632,20.785134648336083,22.15421694179162,20.980140460645988,20.547555980377542,20.500105747045488,6996,2,20.543444559960456,20.500114607463523,367,11010.0,183.5,2025-04-23 17:32:30
20.544721633135723,26.54604721069336,20.500000000007994,0.28208187749589436,0.0,0.0,,20.787930124074382,23.37100982666016,21.23546653077608,22.217991703465334,21.00435203080261,21.30437288741594,20.7764086361572,22.154214752310956,20.980572374970016,20.54664637603584,20.500110633355018,6996,2,20.54413157512932,20.500121732683766,368,11040.0,184.0,2025-04-23 17:33:00
20.544309651466154,26.54604721069336,20.500000000007994,0.2779944228254821,0.0,0.0,,20.78058924024911,23.37100982666016,21.236477006029318,22.21799687316386,21.007842045911072,21.266535990921,20.76783064729997,22.15421465343766,20.981375878656745,20.54577332418143,20.500112197335692,6996,2,20.544786799055927,20.500125754119637,369,11070.0,184.5,2025-04-23 17:33:30
20.543893785182316,26.54604721069336,20.500000000007994,0.27435738825442274,0.0,0.0,,20.773357780029567,23.37100982666016,21.237454165438834,22.218000773175643,21.010664214059286,21.230611504959228,20.759413105901423,22.154215229713706,20.982298324476655,20.544936107240485,20.500117825204043,6996,2,20.545396900348553,20.500127532832508,370,11100.0,185.0,2025-04-23 17:34:00
